Country,Year,Value
Argentina,1998,3.79878183
Argentina,1997,3.758387022
Argentina,1996,3.648190358
Argentina,1995,3.501874849
Argentina,1994,3.569365678
Argentina,1993,3.477160476
Argentina,1992,3.608582241
Argentina,1991,3.525383685
Argentina,1990,3.440710803
Argentina,1989,3.629202129
Argentina,1988,3.820445808
Argentina,1987,3.669168725
Argentina,1986,3.377245218
Argentina,1985,3.310327288
Argentina,1984,3.560142178
Argentina,1983,3.572041973
Argentina,1982,3.567086543
Argentina,1981,3.574967612
Argentina,1980,3.86885293
Argentina,1979,3.998733697
Argentina,1978,3.762750231
Argentina,1977,3.749871115
Argentina,1976,3.768773931
Argentina,1975,3.641822498
Argentina,1974,3.726699112
Argentina,1973,3.730791118
Argentina,1972,3.637858366
Argentina,1971,3.650078169
Argentina,1970,3.451159222
Argentina,1969,3.275850301
Argentina,1968,2.969855218
Argentina,1967,2.858162546
Argentina,1966,2.792653923
Argentina,1965,2.641714463
Argentina,1964,2.53837965
Argentina,1963,2.316355797
Argentina,1962,2.522392105
Argentina,1961,2.442615665
Argentina,1960,2.367473032
Armenia,2011,1.671656923
Armenia,2010,1.422998378
Armenia,2009,1.469960972
Armenia,2008,1.868611029
Armenia,2007,1.694755259
Armenia,2006,1.459636908
Armenia,2005,1.443730955
Armenia,2004,1.20456698
Armenia,2003,1.1291735
Armenia,2002,0.998805808
Armenia,2001,1.15760795
Armenia,2000,1.126529454
Armenia,1999,0.988511937
Armenia,1998,1.094342744
Armenia,1997,1.044825239
Armenia,1996,0.821584566
Armenia,1995,1.083089242
Armenia,1994,0.901718662
Armenia,1993,0.859706565
Armenia,1992,1.174674163
Aruba,2011,23.9224121
Aruba,2010,24.18270225
Aruba,2009,24.87670585
Aruba,2008,24.75013321
Aruba,2007,25.61371495
Aruba,2006,24.76670634
Aruba,2005,24.964531
Aruba,2004,24.51054263
Aruba,2003,24.90906561
Aruba,2002,24.9755145
Aruba,2001,25.38248972
Aruba,2000,25.5476788
Aruba,1999,19.65258865
Aruba,1998,19.62153398
Aruba,1997,21.50066123
Aruba,1996,21.64188954
Aruba,1995,22.18661455
Aruba,1994,22.99644068
Aruba,1993,24.43048084
Aruba,1992,25.25815197
Aruba,1991,29.84760844
Aruba,1990,29.62016477
Aruba,1989,10.6347326
Aruba,1988,10.02650752
Aruba,1987,7.234964017
Aruba,1986,2.868319392
Australia,2011,16.51920992
Australia,2010,16.71090435
Australia,2009,17.63183305
Australia,2008,17.70407968
Australia,2007,17.46700225
Australia,2006,17.29387382
Australia,2005,17.17438627
Australia,2004,17.03034133
Australia,2003,16.90619817
Australia,2002,17.3723178
Australia,2001,16.73506748
Australia,2000,17.20252441
Australia,1999,17.19223523
Australia,1998,16.94000743
Australia,1997,16.51664962
Australia,1996,16.5060059
Australia,1995,15.60098285
Australia,1994,15.58130994
Australia,1993,15.70601817
Australia,1992,15.32258937
Australia,1991,15.13390673
Australia,1990,15.46126211
Australia,1989,16.51986292
Australia,1988,15.79616778
Australia,1987,15.7469578
Australia,1986,14.98057315
Australia,1985,15.3084102
Australia,1984,15.2209753
Australia,1983,14.64008413
Australia,1982,15.42493181
Australia,1981,15.43250084
Australia,1980,15.02491601
Australia,1979,14.12909198
Australia,1978,14.06985862
Australia,1977,13.23189614
Australia,1976,12.41679178
Australia,1975,12.65989981
Australia,1974,12.55966873
Australia,1973,12.77968685
Australia,1972,11.95163155
Australia,1971,11.80911757
Australia,1970,11.80289054
Australia,1969,11.60055435
Australia,1968,11.21016771
Australia,1967,10.9556248
Australia,1966,10.32809244
Australia,1965,10.62232139
Australia,1964,9.759073431
Australia,1963,9.226439909
Australia,1962,8.835688047
Australia,1961,8.641569017
Australia,1960,8.582936643
Austria,2011,7.769983423
Austria,2010,8.127692863
Austria,2009,7.608851293
Austria,2008,8.262046031
Austria,2007,8.405092793
Austria,2006,8.733506631
Austria,2005,9.027746201
Austria,2004,8.844004368
Austria,2003,8.874662113
Austria,2002,8.287318901
Austria,2001,8.180002892
Austria,2000,7.762359194
Austria,1999,7.747095213
Austria,1998,7.987899893
Austria,1997,7.869650771
Austria,1996,7.943997858
Austria,1995,7.527052401
Austria,1994,7.194347413
Austria,1993,7.227191928
Austria,1992,7.229977927
Austria,1991,7.94835195
Austria,1990,7.518022233
Austria,1989,7.102448997
Austria,1988,7.032030698
Austria,1987,7.623419815
Austria,1986,7.144304852
Austria,1985,7.230766353
Austria,1984,7.214278667
Austria,1983,6.874373273
Austria,1982,7.112124941
Austria,1981,7.416160614
Austria,1980,6.928479
Austria,1979,8.158846402
Austria,1978,7.601371804
Austria,1977,7.428063284
Austria,1976,7.721250012
Austria,1975,7.176844855
Austria,1974,7.562697278
Austria,1973,7.930866985
Austria,1972,7.448516814
Austria,1971,6.953651912
Austria,1970,6.788807307
Austria,1969,6.006325178
Austria,1968,5.711110104
Austria,1967,5.417736727
Austria,1966,5.361724683
Austria,1965,5.252196533
Austria,1964,5.391003988
Austria,1963,5.155193747
Austria,1962,4.755361673
Austria,1961,4.496361641
Austria,1960,4.373318828
Azerbaijan,2011,3.647379147
Azerbaijan,2010,3.388225879
Azerbaijan,2009,3.565668218
Azerbaijan,2008,4.051383481
Azerbaijan,2007,3.5553401
Azerbaijan,2006,4.616299863
Azerbaijan,2005,4.091801927
Azerbaijan,2004,3.863229639
Azerbaijan,2003,3.718169927
Azerbaijan,2002,3.623944346
Azerbaijan,2001,3.547105484
Azerbaijan,2000,3.666271029
Azerbaijan,1999,3.579835395
Azerbaijan,1998,4.00297561
